id_estudiante,edad,genero,semestre,programa,modalidad,trabaja,estrato,subsidio,E1,E2,E3,E4,E5,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,H1,H2,H3,H4,H5,D1,D2,D3,D4,D5,S1,S2,S3,S4,S5,AP1,AP2,AP3,AP4,AP5,B1
1,19,Femenino,2,Licenciatura,Híbrida,No,4,No,4,4,5,5,3,5,3,5,3,5,4,4,3,4,4,5,5,4,4,3,3,4,4,3,5,4,3,5,4,3,4,3,4,5,4,2
2,18,Masculino,9,Administración,Presencial,Sí,3,Sí,4,4,5,4,4,2,3,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,5,5,5,3,4,4,5,5,4
3,20,Masculino,1,Ingeniería,Presencial,No,2,Sí,5,4,4,3,3,5,3,4,5,4,3,3,4,4,4,5,4,5,4,4,4,3,4,3,3,4,5,3,3,5,4,5,3,5,4,3
4,19,Masculino,5,Ingeniería,Virtual,No,2,Sí,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,1
5,17,Masculino,6,Música,Híbrida,No,1,No,3,4,3,4,3,4,5,3,3,3,5,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,2,3,3,3,4,4,3,2,3,5
6,23,Femenino,10,Ingeniería,Híbrida,No,2,Sí,4,5,5,5,3,5,5,5,5,5,3,5,4,4,4,4,3,5,3,5,4,5,4,3,4,5,5,4,3,5,5,5,4,5,5,1
7,22,Masculino,9,Administración,Virtual,Sí,2,No,4,5,4,5,4,4,5,5,3,4,5,4,5,5,4,4,3,5,4,5,5,5,4,3,5,5,5,4,4,5,3,5,4,5,4,3
8,19,Masculino,1,Licenciatura,Virtual,Sí,3,No,3,3,3,3,3,3,4,4,4,2,4,3,5,3,3,2,1,2,2,3,3,4,4,2,2,3,2,4,4,3,2,4,3,4,2,5
9,20,Femenino,1,Medicina,Híbrida,No,4,No,1,2,2,2,1,2,2,2,2,2,3,2,3,2,2,3,1,2,3,3,2,2,3,3,1,2,2,3,3,2,2,1,3,3,3,7
10,24,Femenino,7,Administración,Presencial,Sí,1,Sí,3,1,2,1,3,1,2,2,1,2,1,3,2,2,3,3,2,1,1,1,1,2,3,2,1,1,2,1,2,1,2,1,3,2,2,8
11,20,Masculino,8,Administración,Presencial,No,1,No,2,2,4,3,2,4,3,2,4,3,2,2,2,2,3,4,2,3,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,3,2,6
12,22,Femenino,7,Ingeniería,Virtual,Sí,2,Sí,4,3,4,4,2,4,5,2,2,4,3,4,4,3,5,4,3,4,3,2,4,4,4,3,4,4,3,3,4,3,4,3,3,5,4,5
13,17,Femenino,6,Artes Plásticas,Presencial,No,2,Sí,3,2,2,3,3,3,3,4,3,3,2,2,3,4,2,2,1,3,4,2,5,3,1,2,4,4,3,3,1,2,1,2,3,3,3,6
14,18,Femenino,6,Ingeniería,Presencial,Sí,5,No,3,3,3,4,5,3,2,2,3,2,4,2,3,4,4,2,1,2,2,2,2,2,3,2,3,1,2,3,2,2,2,3,2,3,2,7
15,23,Femenino,9,Danza,Virtual,Sí,1,Sí,5,4,3,1,3,3,2,3,2,3,3,4,4,2,3,2,4,3,3,1,3,4,4,3,3,3,1,2,3,2,4,3,4,4,3,6
16,17,Masculino,3,Medicina,Híbrida,No,2,Sí,4,4,3,4,4,5,4,4,4,4,4,2,3,4,4,3,4,4,3,3,4,3,4,3,5,4,4,4,5,4,3,3,3,4,4,3
17,19,Femenino,1,Derecho,Presencial,No,2,Sí,3,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,9
18,19,Femenino,10,Artes Plásticas,Híbrida,No,1,No,2,1,2,2,3,2,3,1,3,3,2,1,2,2,1,3,3,1,2,3,3,3,1,3,2,2,2,2,2,2,2,2,1,2,1,7
19,18,Masculino,3,Danza,Virtual,No,4,Sí,3,3,4,2,3,3,3,3,2,3,3,3,3,4,2,2,2,2,2,4,4,2,2,3,2,3,3,2,4,4,3,3,3,3,3,7
20,19,Masculino,1,Psicología,Virtual,No,2,Sí,1,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,3,4,4,3,3,3,4,4,3,4,4,2,4,4,5,3,5,4
21,19,Masculino,1,Medicina,Presencial,No,3,No,3,3,3,3,2,4,3,3,3,3,3,2,4,4,2,3,2,3,4,4,4,4,3,2,3,4,2,4,4,3,3,3,3,3,4,4
22,18,Femenino,4,Psicología,Híbrida,No,1,No,5,5,3,4,4,4,3,4,4,4,3,5,4,5,4,4,4,3,5,4,5,3,4,3,4,3,4,4,5,4,4,5,3,4,4,3
23,19,Femenino,1,Psicología,Virtual,No,1,Sí,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,3,3,1,3,2,4,2,2,1,2,2,1,2,1,3,2,4,2,2,2,6
24,17,Masculino,2,Danza,Virtual,No,1,No,4,4,5,3,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,4,4,3,4,2,5,2,3,3,3,4,4,4,4,4,4,3
25,17,Masculino,3,Ingeniería,Virtual,No,2,Sí,3,5,5,4,4,5,4,5,4,4,3,4,4,3,3,5,5,4,4,4,4,3,5,4,4,4,4,3,4,4,4,5,5,4,5,3
26,19,Femenino,6,Medicina,Presencial,No,2,No,1,3,2,2,2,2,3,2,2,2,3,2,1,1,1,2,3,3,1,2,3,3,1,3,2,1,2,1,2,3,2,2,2,1,2,6
27,19,Masculino,4,Medicina,Virtual,No,4,No,3,4,3,3,3,2,4,3,2,3,5,4,3,2,3,3,2,4,4,3,3,2,4,3,3,3,3,3,4,3,3,4,4,3,4,4
28,23,Femenino,9,Administración,Presencial,Sí,2,No,2,3,2,2,3,2,4,1,2,2,2,2,1,3,2,2,2,2,3,3,1,1,3,2,1,3,2,2,3,1,1,3,1,1,1,9
29,18,Femenino,8,Danza,Presencial,No,1,Sí,4,2,4,3,3,3,4,3,4,3,3,2,3,2,3,4,4,4,2,3,4,4,5,3,4,3,3,3,4,4,3,2,2,4,3,3
30,17,Masculino,6,Medicina,Híbrida,No,5,No,5,4,4,5,3,3,3,3,3,3,3,4,3,4,2,3,2,3,3,3,3,4,3,2,2,3,3,2,4,3,2,4,4,2,3,4
31,19,Masculino,5,Licenciatura,Virtual,No,3,Sí,3,3,3,3,2,3,3,4,2,3,3,4,3,2,4,3,3,3,3,3,2,3,3,2,3,2,2,3,1,4,2,3,4,2,1,5
32,19,Femenino,4,Ingeniería,Híbrida,No,4,No,4,4,4,4,2,4,3,4,4,4,4,4,5,5,4,4,4,3,3,2,3,2,5,3,4,3,4,3,4,4,3,3,4,4,3,3
33,20,Masculino,4,Psicología,Virtual,Sí,3,No,4,4,3,3,5,4,3,4,4,4,4,5,5,5,5,3,5,4,4,4,3,4,4,3,4,4,4,4,4,3,4,5,5,5,3,4
34,20,Femenino,5,Danza,Híbrida,No,5,No,1,2,3,2,1,2,2,1,1,2,1,2,2,2,1,1,2,1,3,1,2,2,1,1,1,2,1,3,1,2,3,3,3,2,2,8
35,19,Masculino,3,Música,Presencial,No,3,Sí,3,3,3,4,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,3,5,5,4,3,3,4,3,2,2,3,4,4,3,4,3,3
36,22,Masculino,9,Música,Presencial,Sí,1,Sí,3,3,3,4,3,3,3,2,2,2,3,3,4,3,3,2,4,2,2,3,2,5,3,3,3,3,3,3,3,3,4,5,3,3,3,7
37,17,Femenino,1,Licenciatura,Híbrida,No,3,Sí,3,4,3,2,3,4,2,2,2,2,3,4,3,2,2,2,3,3,3,5,3,2,2,3,3,2,3,2,4,3,2,4,3,3,3,5
38,21,Femenino,8,Danza,Presencial,Sí,5,No,3,2,2,3,2,3,2,2,2,1,3,2,2,3,2,2,1,1,2,2,1,1,2,2,1,2,1,3,2,2,2,1,3,1,2,8
39,21,Femenino,8,Administración,Presencial,Sí,1,No,3,4,5,4,2,3,4,2,4,4,3,4,4,4,3,3,2,2,3,4,4,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4
40,21,Femenino,5,Licenciatura,Virtual,Sí,2,Sí,4,5,5,5,4,4,3,3,4,5,3,5,4,3,4,5,3,3,3,3,5,4,5,3,4,3,3,3,4,4,4,3,4,4,4,4
41,19,Masculino,4,Derecho,Virtual,No,3,No,3,2,2,4,2,2,1,2,1,2,2,1,2,3,2,1,1,1,2,2,2,3,2,1,2,1,1,2,1,1,1,2,3,2,2,7
42,21,Masculino,6,Psicología,Presencial,No,2,Sí,5,5,5,5,3,5,4,4,4,3,5,4,4,4,5,4,3,4,3,3,5,5,4,5,5,5,4,3,4,4,3,5,5,5,5,3
43,19,Otro,4,Administración,Presencial,No,1,Sí,3,3,3,4,4,3,4,3,4,3,3,4,2,3,3,3,4,5,3,3,2,3,3,3,3,3,2,3,2,3,5,3,1,3,4,7
44,21,Femenino,6,Derecho,Virtual,Sí,2,Sí,1,3,2,2,2,3,2,1,1,2,2,2,2,3,2,1,3,2,3,1,2,2,2,2,1,1,3,3,1,2,1,1,1,1,2,7
45,20,Masculino,7,Medicina,Virtual,No,1,No,5,4,5,4,4,5,5,5,5,5,4,5,4,3,4,3,4,4,3,4,3,4,4,3,5,5,3,3,3,3,5,4,4,3,5,2
46,22,Femenino,10,Ingeniería,Presencial,No,2,Sí,4,4,4,5,2,3,3,3,3,4,4,4,3,3,3,4,3,3,4,3,4,5,4,3,2,3,4,3,4,4,2,3,4,4,4,4
47,20,Otro,8,Medicina,Híbrida,No,1,Sí,5,4,4,5,5,5,3,5,4,5,4,4,5,4,4,5,4,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,4,4,4,1
48,19,Otro,5,Licenciatura,Presencial,No,3,No,3,4,2,3,4,2,3,3,2,1,3,4,2,3,3,1,2,2,2,2,2,4,2,2,2,3,3,2,2,2,2,3,2,3,3,6
49,20,Masculino,6,Derecho,Presencial,No,3,Sí,5,4,3,4,4,2,3,3,3,4,3,4,3,4,4,2,3,5,2,3,4,3,4,1,4,3,3,3,5,3,3,2,3,4,3,4
50,18,Otro,1,Ingeniería,Presencial,Sí,4,No,2,2,3,4,2,2,1,1,2,3,3,2,2,1,3,3,2,2,2,2,2,3,2,2,1,2,2,1,3,3,2,1,3,1,3,6
51,22,Masculino,6,Licenciatura,Presencial,Sí,1,No,3,2,3,4,1,3,2,1,1,2,3,2,4,1,2,1,2,2,1,1,2,2,2,3,1,2,2,1,2,1,2,2,2,1,2,7
52,17,Femenino,2,Derecho,Presencial,Sí,4,No,4,3,2,4,4,3,2,4,2,2,3,5,4,4,3,3,3,2,3,4,3,3,2,1,3,4,4,3,3,4,4,3,3,3,3,4
53,20,Femenino,10,Artes Plásticas,Virtual,No,4,No,1,1,2,1,2,2,3,2,4,2,3,1,3,2,1,2,2,2,2,1,2,2,3,2,1,2,2,1,1,1,2,3,2,3,2,6
54,20,Femenino,3,Artes Plásticas,Presencial,Sí,2,No,5,4,5,5,4,4,4,4,3,3,5,5,4,4,5,3,3,4,4,3,4,5,4,3,5,4,4,4,4,5,5,5,5,3,5,3
55,19,Femenino,9,Música,Híbrida,No,1,Sí,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,3,2,1,2,2,2,1,1,1,2,1,1,3,3,7
56,20,Femenino,9,Administración,Híbrida,Sí,3,Sí,4,3,4,4,4,4,5,3,2,4,4,4,5,3,4,3,5,5,3,3,4,3,3,3,2,3,3,3,4,2,4,3,3,4,4,5
57,20,Masculino,1,Artes Plásticas,Virtual,No,2,Sí,3,3,3,3,3,4,4,2,3,3,2,3,4,4,3,3,3,1,2,1,2,3,4,1,3,3,3,4,3,3,2,3,2,4,4,5
58,19,Masculino,5,Música,Presencial,Sí,2,Sí,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,4,5,4,4,4,4,5,5,3,5,3,5,4,4,5,5,5,5,4,5,3
59,19,Femenino,2,Licenciatura,Híbrida,No,3,No,3,4,2,3,3,3,1,2,3,4,2,1,3,2,2,2,3,2,1,3,4,3,2,3,3,3,3,2,3,3,4,3,3,3,4,6
60,19,Masculino,6,Ingeniería,Híbrida,No,1,Sí,5,5,5,5,5,4,3,4,5,3,5,5,5,5,5,4,5,3,4,3,3,4,5,4,5,5,5,4,3,4,5,5,3,5,5,2
61,22,Femenino,4,Administración,Híbrida,Sí,2,Sí,4,4,5,4,3,3,5,3,4,4,5,5,3,3,3,3,4,3,4,3,3,2,3,3,4,4,4,3,4,4,5,3,4,5,2,4
62,23,Masculino,4,Psicología,Híbrida,No,5,No,4,3,3,4,4,3,4,2,5,3,3,5,3,4,4,4,3,3,3,3,3,4,4,3,4,4,2,3,5,4,3,3,3,4,4,5
63,21,Femenino,8,Ingeniería,Presencial,Sí,2,Sí,3,3,3,2,3,2,3,3,4,2,3,3,3,4,2,3,3,3,3,1,3,4,3,3,2,2,3,2,3,2,3,2,3,2,1,6
64,23,Femenino,6,Artes Plásticas,Virtual,No,5,No,3,5,3,5,4,2,3,3,3,3,5,4,3,5,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,5,2,4,3,4,6
65,19,Femenino,5,Medicina,Presencial,No,6,Sí,2,3,4,3,3,1,2,3,2,2,3,3,3,2,2,2,3,1,2,2,4,2,3,3,1,3,3,3,5,1,4,3,3,3,2,5
66,21,Femenino,6,Administración,Híbrida,Sí,1,Sí,4,4,3,4,4,3,3,4,3,3,3,4,4,4,3,2,4,3,3,2,3,4,4,3,3,3,3,3,2,3,3,3,4,3,4,3
67,20,Masculino,4,Administración,Virtual,No,4,No,4,3,4,4,4,4,2,2,2,3,3,3,3,4,4,3,3,2,3,3,3,3,2,3,4,2,2,3,3,4,3,4,2,4,3,5
68,20,Femenino,5,Administración,Virtual,Sí,5,No,5,5,4,5,5,3,4,4,5,5,4,5,4,5,5,4,5,3,3,4,5,3,2,5,5,5,4,4,5,3,4,5,5,4,4,3
69,19,Femenino,6,Artes Plásticas,Presencial,No,5,No,5,5,4,4,3,5,4,5,5,3,4,5,3,4,4,5,4,4,4,5,4,4,4,3,3,4,4,4,4,4,5,5,4,4,4,1
70,19,Masculino,3,Danza,Presencial,No,2,No,3,4,3,4,3,4,3,5,4,4,3,3,3,2,4,3,3,5,3,3,4,3,4,3,3,3,3,4,3,3,4,4,4,3,4,4
71,19,Femenino,4,Danza,Virtual,No,3,Sí,2,4,3,4,4,3,3,3,3,4,3,2,3,3,3,2,3,4,4,3,4,3,3,2,2,3,3,3,3,3,4,3,4,3,3,3
72,20,Femenino,6,Derecho,Presencial,No,3,No,3,3,3,2,3,2,2,3,4,2,4,5,2,3,5,3,3,2,2,3,4,3,2,2,3,4,3,3,4,2,3,2,3,2,2,6
73,21,Masculino,10,Música,Presencial,Sí,3,No,5,4,3,4,5,4,4,4,4,4,4,5,3,4,4,4,4,5,5,4,4,4,4,3,4,3,4,3,5,5,4,4,4,5,5,3
